CookerStat, GenerateAssetRegistry=0.020169, Initialize=0.103954, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_EDE2AAED4ADF89329__58E658AE552E221780D0ACCA19E563F9A948BDCF, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.097534, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_188CD6D84C7BB08E8__2DC2DF6CAD7CB742601924673CDD2754F1A55F08, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.145322, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_81427AF24A24B9A58__CE41A0CBF7DA97E980B1A579E4CEFF5ED96D3457, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.293648, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_410224AE4AD9E5BE1__5A3FCD498C6C2D86ED7326022318DBD2F9FC0F5D, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.792300, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_EF10D020410EB9CD0__0E6037D924546E6CE9452295176AF982928C2672, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.484793, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_809BF7B94632B99E8__3D4D484B94E8AC24382A41EE001B7C9419237EBB, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.057506, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_08B070604628EEA07__FFB7F39D2B65C54AEBA1C999084D20A18CC5F469, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.016237, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_739BA925410EE4E11__3F263049C1913E023444164FACD7E1163987CC38, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=881, Duration=0.967208, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_B471C3DC42FFF64E8__8CCA7D1234AB4E82EBAE4596BDBB6E3B5BBB2D75, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=689, Duration=1.206454, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_3, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_56D2988B4FB0F9C4A__6D2115C895B8F25B1CD399C05CA379DC579DD638, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=689, Duration=1.090400, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_3, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C25EC01B4758A1C27__DE00E06142012578081084282D89E5ABDC219030, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.277819, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_3, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_96DA8C214225A48B3__AF547E9667FEC817F7011FE3A3A49CABCE0DDCE8, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=593, Duration=1.046646, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_4, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_0EAA799C4DB293431__EB10DDD935CB73C6418BC5D0B958D7D6E0F19793, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=28.476343, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_4, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_AD3B1B814AD3C6C89__D1962E3AB19C24649C03E2F68478120F4B9E99BE, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=28.136871, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_4, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_D54159A04DDBABDF2__FA19FAEE13BFA9BCF9D1992F3DDA48DADB55E732, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.413733, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_5, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_B58C72084C093ADFE__3DA57C8E99FF8D7A748BB2D0C3E822E73A724669, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.028650, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_5, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_DD0AAE6541D18B1A5__C892F4334BCF274716AF90C67D30F5CDC8D763B4, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=785, Duration=0.880633, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_5, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_155A18DE4AFBFCD2C__90DB57049CFA7E3AEECDE9A77195830347B574D8, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=0.951383, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_6, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_8C4B4956435110F2E__AD095489AE49C79048DBF11CFA1494985864C8F0, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=593, Duration=0.925630, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_6, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_6CA90B4F4871706C5__6FE0406200CAE495A59C0C87D90AA167415CC1B9, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.023375, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_6, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_863CD7A34B1D1AC8C__8666B7E46BDB4B14AFB904418740675BDDEC6EAB, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=785, Duration=1.145322, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
