CookerStat, GenerateAssetRegistry=0.019856, Initialize=0.106744, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_429B62834B162D1A4__17CAB7812463561F7A69163F05EE6262941D7278, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=977, Duration=1.589671, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_CA9B4C5045AC37D5F__BD5C5B4920D34BA7565F76B67876FAD383395B04, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=689, Duration=1.622565, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_B36F34E04C60E2717__DDD21F2727A55E792B2934E76748037A973FBDA8, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=2.457585, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_7DEEDC0846FC4C03D__73D1DC5DE2059375633EB53AE63FB83F52A3774D, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.663834, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_D3E0611A4ECD3FEA6__1FAEAF6003E2FFD3FC2CDB4C98730FAF6FC121A0, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.553677, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_77786B6448C1DCDE1__9F339F3DAB8BE24462690C05FCE8EADF140FB072, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=1073, Duration=1.480758, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_5ED2D23245732C539__8B0AC11BC51CCC87D128A706789E107924792E21, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=977, Duration=1.507442, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_B04C570A44273067F__B6AFE94C83218E6C180E9EC3EDD78EC6584CF12C, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=977, Duration=1.664765, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_3, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_D3598733486C910BE__24A2A98533EAA5FF4CC79FCECE35FD4711CD8BC2, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=689, Duration=1.510859, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_F8FB2F42447821C39__3AE0E938F5894DE61CFF17D99A54AE3D661721A3, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=3185, Duration=1.573227, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_3, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_7B88781D4DFCB4955__38BCBC5EA4176039D87827BEBD7C8268D449E3B8, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=3857, Duration=1.243684, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_4, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_7A1F6B05415184716__79BF165B1A113E26589DE6382795818E29C90A46, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=1169, Duration=1.427073, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_3, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_83A61A604B2CC7613__3FCDEB23FE9F1C704222C5F51C23F6DD980D85F3, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=1265, Duration=1.450971, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_4, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_193967974EC009E5A__D15F2B3D813D93304515661827AD94B6245F7CB6, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=1073, Duration=1.457486, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_5, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_003C43764C333AD44__F82DFDD05056FD3B6849D39F218DD7CFC41458EB, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=1073, Duration=1.633115, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_4, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C6C2705D4E5E6B18C__EC63575CA72578C629F973993FC44920CEBECC80, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=689, Duration=1.474552, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
